rating,helpfulness,hair_color,brand_name,price_usd,review_length
5,1.0,red,Algenist,38.0,194
5,0.6666669845581055,blonde,Algenist,98.0,105
5,0.5555559992790222,brown,Algenist,85.0,341
5,1.0,,Algenist,70.0,129
1,0.1071429997682571,brown,Algenist,38.0,57
3,0.6956520080566406,brown,Algenist,58.0,445
3,0.800000011920929,brown,Algenist,85.0,277
5,1.0,blonde,Algenist,96.0,283
4,0.3333329856395721,,Algenist,85.0,394
3,,brown,Algenist,74.0,320
5,0.935483992099762,red,Algenist,58.0,675
3,0.9375,black,Algenist,85.0,1037
5,0.9166669845581056,brown,Algenist,70.0,374
5,0.6666669845581055,brown,Algenist,38.0,447
5,1.0,brown,Algenist,74.0,401
4,0.5714290142059326,brown,Algenist,96.0,315
5,0.6666669845581055,blonde,Algenist,70.0,246
4,0.7250000238418579,blonde,Algenist,38.0,440
5,1.0,brown,Algenist,58.0,323
3,0.6363639831542969,brown,Algenist,40.0,246
5,1.0,brown,Algenist,58.0,278
5,0.5,black,Algenist,38.0,116
5,0.8947370052337646,brown,Algenist,98.0,444
1,0.2727270126342773,,Algenist,74.0,240
5,0.1333329975605011,,Algenist,38.0,44
5,1.0,blonde,Algenist,58.0,102
5,0.9230769872665404,blonde,Algenist,84.0,154
5,1.0,black,Algenist,85.0,139
3,0.699999988079071,,Algenist,96.0,753
5,0.7599999904632568,brown,Algenist,85.0,484
5,0.8333330154418945,blonde,Algenist,70.0,166
5,0.6000000238418579,brown,Algenist,38.0,282
1,1.0,black,Algenist,74.0,119
4,0.4285709857940674,,Algenist,85.0,342
5,1.0,brown,Algenist,58.0,193
3,0.25,blonde,Algenist,85.0,79
5,,blonde,Algenist,38.0,337
5,0.846153974533081,,Algenist,70.0,589
1,0.3333329856395721,black,Algenist,85.0,144
5,0.8888890147209167,brown,Algenist,58.0,600
5,1.0,blonde,Algenist,85.0,265
5,1.0,blonde,Algenist,74.0,99
5,1.0,,Algenist,74.0,258
5,0.8333330154418945,,Algenist,70.0,141
5,0.7777780294418335,brown,Algenist,38.0,327
5,0.8888890147209167,,Algenist,70.0,553
5,0.4285709857940674,brown,Algenist,98.0,259
5,0.6000000238418579,black,Algenist,25.0,89
2,0.5,brown,Algenist,85.0,160
5,0.5,black,Algenist,85.0,202
5,1.0,blonde,Algenist,74.0,534
4,1.0,brown,Algenist,58.0,148
5,0.75,,Algenist,74.0,620
2,0.5714290142059326,brown,Algenist,38.0,103
3,,brown,Algenist,44.0,215
1,1.0,brown,Algenist,40.0,329
5,1.0,brown,Algenist,85.0,287
5,1.0,blonde,Algenist,74.0,109
5,0.6000000238418579,brown,Algenist,85.0,416
3,0.75,,Algenist,70.0,265
3,1.0,,Algenist,74.0,208
4,0.2000000029802322,,Algenist,74.0,269
5,1.0,brown,Algenist,40.0,677
5,0.5588240027427673,blonde,Algenist,38.0,491
5,0.880952000617981,brown,Algenist,58.0,62
5,1.0,red,Algenist,25.0,86
3,1.0,brown,Algenist,58.0,119
3,0.6666669845581055,,Algenist,74.0,288
5,0.8333330154418945,brown,Algenist,72.0,119
4,0.8999999761581421,black,Algenist,38.0,425
5,0.8333330154418945,brown,Algenist,85.0,583
4,,blonde,Algenist,85.0,259
1,0.5,brown,Algenist,98.0,167
5,0.8823530077934265,,Algenist,74.0,288
5,1.0,blonde,Algenist,58.0,125
5,0.848484992980957,black,Algenist,98.0,535
5,1.0,,Algenist,85.0,552
5,1.0,blonde,Algenist,98.0,233
5,0.9166669845581056,brown,Algenist,85.0,339
5,0.6666669845581055,blonde,Algenist,85.0,300
1,1.0,blonde,Algenist,70.0,205
5,0.800000011920929,blonde,Algenist,58.0,242
5,1.0,brown,Algenist,38.0,729
5,0.8888890147209167,brown,Algenist,74.0,387
5,0.7368419766426086,brown,Algenist,98.0,328
5,0.842104971408844,,Algenist,70.0,628
3,0.9230769872665404,,Algenist,85.0,298
5,0.942857027053833,brown,Algenist,96.0,1292
3,0.8999999761581421,black,Algenist,38.0,261
5,1.0,,Algenist,74.0,79
4,1.0,,Algenist,98.0,310
4,0.6666669845581055,blonde,Algenist,58.0,885
2,0.5,black,Algenist,38.0,344
3,0.857142984867096,,Algenist,74.0,285
5,0.5,brown,Algenist,74.0,307
5,,,Algenist,85.0,391
5,1.0,blonde,Algenist,40.0,465
2,0.800000011920929,blonde,Algenist,38.0,147
5,1.0,blonde,Algenist,58.0,480
4,1.0,black,Algenist,70.0,364
1,0.6111109852790833,blonde,Algenist,38.0,260
2,0.6000000238418579,,Algenist,74.0,329
5,0.9166669845581056,black,Algenist,98.0,182
5,0.75,black,Algenist,85.0,274
2,0.8333330154418945,brown,Algenist,85.0,383
5,1.0,,Algenist,70.0,520
5,0.8888890147209167,,Algenist,70.0,210
1,0.5,blonde,Algenist,85.0,573
2,0.5,brown,Algenist,84.0,186
4,0.800000011920929,black,Algenist,58.0,1115
2,1.0,brown,Algenist,25.0,276
2,0.5238100290298462,blonde,Algenist,38.0,165
5,0.8333330154418945,,Algenist,85.0,173
4,0.6875,brown,Algenist,38.0,301
5,1.0,brown,Algenist,58.0,110
1,0.4285709857940674,blonde,Algenist,85.0,425
5,0.9230769872665404,brown,Algenist,58.0,293
5,0.5,brown,Algenist,40.0,235
3,0.9315069913864136,brown,Algenist,96.0,569
5,,brown,Algenist,85.0,175
1,1.0,blonde,Algenist,25.0,94
1,,brown,Algenist,85.0,410
5,1.0,,Algenist,74.0,206
5,0.8888890147209167,blonde,Algenist,70.0,204
5,,black,Algenist,38.0,212
4,1.0,brown,Algenist,58.0,352
5,1.0,,Algenist,85.0,121
4,0.5714290142059326,brown,Algenist,85.0,767
2,1.0,blonde,Algenist,40.0,136
3,0.7599999904632568,brown,Algenist,85.0,803
5,1.0,black,Algenist,38.0,366
4,1.0,brown,Algenist,58.0,288
1,0.1818179935216903,brown,Algenist,40.0,135
5,1.0,brown,Algenist,85.0,859
4,1.0,auburn,Algenist,85.0,226
5,0.8888890147209167,red,Algenist,40.0,277
5,0.857142984867096,blonde,Algenist,96.0,395
5,0.5714290142059326,brown,Algenist,85.0,175
5,1.0,blonde,Algenist,38.0,133
5,0.7142860293388367,blonde,Algenist,96.0,234
1,0.7727270126342773,black,Algenist,96.0,198
1,1.0,black,Algenist,85.0,71
2,1.0,brown,Algenist,40.0,293
5,0.857142984867096,brown,Algenist,98.0,173
5,0.4285709857940674,blonde,Algenist,70.0,960
5,1.0,brown,Algenist,40.0,489
5,0.9375,blonde,Algenist,38.0,308
5,0.857142984867096,,Algenist,96.0,436
5,,brown,Algenist,38.0,59
5,1.0,,Algenist,85.0,1178
5,0.875,blonde,Algenist,98.0,595
3,0.0,,Algenist,85.0,282
5,0.800000011920929,blonde,Algenist,58.0,660
4,1.0,brown,Algenist,38.0,396
2,0.3000000119209289,,Algenist,70.0,146
5,1.0,blonde,Algenist,58.0,405
5,0.9240509867668152,brown,Algenist,85.0,203
